Below is the mean and standard deviation of the mean 
for a range of data types listed, such data was 
obtained by using BOLSIG- and inputed data file.

Mobility *N (1/m/V/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         0.1207             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.1600             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.2121             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.2812             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.3728             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.4942             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.6551             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.8685             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         1.151             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         1.526             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         2.024             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         2.683             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         3.556             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         4.715             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         6.251             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         8.286             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         10.99             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         14.56             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         19.31             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         25.60             6.064352e-30         1.824363e-30         5.769143e-29        951.321%
         33.93             5.386738e-26         3.627472e-27         1.147107e-25        212.950%
         44.98             2.001898e-23         8.503326e-25         2.688988e-23        134.322%
         59.64             1.917102e-21         5.919488e-23         1.871906e-21        97.643%
         79.06             6.790526e-20         1.568416e-21         4.959767e-20        73.040%
         104.8             1.063741e-18         1.871180e-20         5.917191e-19        55.626%
         138.9             8.734901e-18         1.201308e-19         3.798869e-18        43.491%
         184.2             4.492913e-17         5.005964e-19         1.583025e-17        35.234%
         244.2             1.677740e-16         1.561310e-18         4.937295e-17        29.428%
         323.7             5.009672e-16         3.959979e-18         1.252255e-16        24.997%
         429.2             1.266338e-15         8.536254e-18         2.699401e-16        21.317%
         569.0             2.805915e-15         1.607011e-17         5.081814e-16        18.111%
         754.3             5.583756e-15         2.701795e-17         8.543825e-16        15.301%
         1000.             1.016774e-14         4.138183e-17         1.308609e-15        12.870%

Townsend ioniz. coef. alpha/N (m2)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
