Below is the mean and standard deviation of the mean 
for a range of data types listed, such data was 
obtained by using BOLSIG- and inputed data file.

Mobility *N (1/m/V/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         0.2812             1.887692e-14         3.204150e-18         1.013241e-16        0.537%
         0.3728             2.159860e-14         3.547679e-18         1.121875e-16        0.519%
         0.4942             2.482872e-14         3.949957e-18         1.249086e-16        0.503%
         0.6551             2.866472e-14         4.421003e-18         1.398044e-16        0.488%
         0.8685             3.320919e-14         5.035116e-18         1.592244e-16        0.479%
         1.151             3.850220e-14         5.896043e-18         1.864493e-16        0.484%
         1.526             4.447953e-14         7.080170e-18         2.238946e-16        0.503%
         2.024             5.107065e-14         8.498359e-18         2.687417e-16        0.526%
         2.683             5.827881e-14         1.009422e-17         3.192074e-16        0.548%
         3.556             6.607692e-14         1.202564e-17         3.802840e-16        0.576%
         4.715             7.401837e-14         1.504292e-17         4.756988e-16        0.643%
         6.251             8.022459e-14         2.092680e-17         6.617634e-16        0.825%
         8.286             8.188330e-14         2.650314e-17         8.381028e-16        1.024%
         10.99             8.095750e-14         2.710405e-17         8.571052e-16        1.059%
         14.56             7.997422e-14         2.638141e-17         8.342534e-16        1.043%
         19.31             7.926013e-14         2.583463e-17         8.169627e-16        1.031%
         25.60             7.862344e-14         2.550135e-17         8.064234e-16        1.026%
         33.93             7.786903e-14         2.528105e-17         7.994571e-16        1.027%
         44.98             7.684703e-14         2.511800e-17         7.943008e-16        1.034%
         59.64             7.541732e-14         2.512527e-17         7.945309e-16        1.054%
         79.06             7.348299e-14         2.556107e-17         8.083120e-16        1.100%
         104.8             7.098380e-14         2.726121e-17         8.620751e-16        1.214%
         138.9             6.800866e-14         3.115741e-17         9.852837e-16        1.449%
         184.2             6.481745e-14         3.799536e-17         1.201519e-15        1.854%
         244.2             6.188164e-14         4.691798e-17         1.483677e-15        2.398%
         323.7             5.977731e-14         5.681788e-17         1.796739e-15        3.006%
         429.2             5.893310e-14         6.687926e-17         2.114908e-15        3.589%
         569.0             5.939829e-14         7.821520e-17         2.473382e-15        4.164%
         754.3             6.087631e-14         9.276921e-17         2.933620e-15        4.819%
         1000.             6.273730e-14         1.123360e-16         3.552377e-15        5.662%

Total ionization freq. /N (m3/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         0.1000E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.1326E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.1758E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.2330E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.3089E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.4095E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.5429E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.7197E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.9541E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.1265E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.1677E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.2223E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.2947E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.3907E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.5179E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.6866E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.9103E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.1207             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.1600             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.2121             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.2812             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.3728             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.4942             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.6551             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.8685             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         1.151             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         1.526             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         2.024             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         2.683             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         3.556             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         4.715             6.010728e-27         7.981568e-29         2.523993e-27        41.991%
         6.251             1.433854e-23         1.262525e-25         3.992454e-24        27.844%
         8.286             1.257805e-21         8.238660e-24         2.605293e-22        20.713%
         10.99             2.175818e-20         1.150543e-22         3.638337e-21        16.722%
         14.56             1.678966e-19         7.460456e-22         2.359203e-20        14.052%
         19.31             8.306890e-19         3.161285e-21         9.996862e-20        12.034%
         25.60             3.112865e-18         1.024328e-20         3.239209e-19        10.406%
         33.93             9.665788e-18         2.754281e-20         8.709801e-19        9.011%
         44.98             2.625429e-17         6.456204e-20         2.041631e-18        7.776%
         59.64             6.470747e-17         1.358679e-19         4.296521e-18        6.640%
         79.06             1.482688e-16         2.614629e-19         8.268183e-18        5.576%
         104.8             3.210074e-16         4.631250e-19         1.464530e-17        4.562%
         138.9             6.618874e-16         7.577306e-19         2.396154e-17        3.620%
         184.2             1.299105e-15         1.152478e-18         3.644456e-17        2.805%
         244.2             2.404619e-15         1.673377e-18         5.291682e-17        2.201%
         323.7             4.139242e-15         2.411838e-18         7.626900e-17        1.843%
         429.2             6.564418e-15         3.843862e-18         1.215536e-16        1.852%
         569.0             9.599815e-15         7.136734e-18         2.256834e-16        2.351%
         754.3             1.304295e-14         1.331348e-17         4.210091e-16        3.228%
         1000.             1.660301e-14         2.283205e-17         7.220128e-16        4.349%

Townsend ioniz. coef. alpha/N (m2)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         0.1000E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
